time;count;mine_x;mine_y;mine_z;robot_x;robot_y;robot_z
25.213;1;1.78379;2.28502;0.012693;1.7865261668072916;2.1375055214713155;-1.2396776663325254e-05
28.955;2;2.83712;3.53719;0.009443;2.88397172136416;3.4773771541016134;-6.298138920710072e-06
31.202;3;3.70238;4.44131;0.006696;3.5976640165680784;4.341104312131461;-1.0347418691682847e-05
33.058;4;4.36193;5.13151;0.014668;4.259252585057141;5.136328943016305;-9.415970492820253e-06
43.348;5;3.21545;4.12516;0.008328;3.340846839316195;4.0796922424738336;-1.0244469636579157e-05
58.681;6;1.33554;0.47665;0.00804;1.2638772314048021;0.3429467994205268;-7.446232031280836e-06
62.709;7;3.42593;0.244531;0.010229;3.3341293676445467;0.2173969488895926;-1.5814186690884385e-05
65.266;8;4.46855;0.017123;0.01253;4.4843500647793695;0.1304995890331951;-6.667670526819963e-06
80.153;9;4.25585;2.85563;0.008766;4.206701463955922;2.775199745015438;-8.176143021173393e-06
83.201;10;3.9755;4.35797;0.008057;3.8346824915521043;4.329367496258328;-7.5396048084194756e-06
103.778;11;1.52523;2.54006;0.011024;1.4370603008287182;2.54119373738959;-6.309657854735445e-06
108.278;12;2.72492;0.700799;0.008726;2.597434578849488;0.6815450199764329;-1.0114870517538566e-05
128.177;13;0.798023;3.90242;0.011043;0.7365532893742723;3.783767565930674;-1.490692511828956e-05
129.865;14;1.54203;3.49315;0.006913;1.4699805800832566;3.5716059783245995;-9.407450739774836e-06
155.21;15;1.76006;3.01796;0.011319;1.703538002814369;3.1018168969536153;-8.253669469958369e-06
179.377;16;5.43743;2.28574;0.00866;5.522859378564746;2.266879483452986;-1.0795808061549172e-05
183.068;17;3.53947;1.98711;0.013567;3.6368339859155228;2.0754029213174343;-8.847724793682732e-06
